	diapaused_ICM	mTor_ICM	paused_E14	cluster
mmu-let-7f-5p	-1.38404511567374	-0.548077283662641	0.0	3
mmu-miR-101a-3p	-0.961005543253303	0.8055557157765358	0.39737884946998103	3
mmu-miR-101b-5p	-0.7316258041646659	-0.32405348020299896	0.0	3
mmu-miR-1247-5p	-1.11372832488514	-0.5660490237912911	0.0	3
mmu-miR-126a-5p	-0.8181006385419459	-0.8504236425099759	1.4665158007357202	3
mmu-miR-127-3p	-0.89196060962457	0.129758970282785	0.538961531087288	3
mmu-miR-129-2-3p	-0.534283094440055	-0.118479095604825	-0.35510956827218504	3
mmu-miR-130a-3p	-0.8735759294684828	-0.200977783841017	-1.14147117913729	3
mmu-miR-130b-3p	-0.506041632648627	-1.1044692253475	-0.214543571430043	3
mmu-miR-135b-5p	-0.621287852723938	-1.37550862742733	-0.284136500892747	3
mmu-miR-141-5p	-0.45405980889615105	-0.724506107648789	0.7713267690026919	3
mmu-miR-143-3p	-0.8449985038971078	0.7641323362662341	-0.187802096619664	3
mmu-miR-144-3p	-0.6957840030518979	-0.17477180378562301	0.517469426846698	3
mmu-miR-154-3p	-0.380748872863837	-0.345882516205577	-1.02876329855411	3
mmu-miR-155-5p	-0.653269102526325	0.888943750335852	-0.727630706732938	3
mmu-miR-181d-5p	-0.5612622413506639	-0.264188883377315	0.343609770231957	3
mmu-miR-182-5p	-0.32418301638873	-1.01119428871642	0.61605686307441	3
mmu-miR-191-5p	-0.762511428408377	-1.05973450808175	0.250829077148831	3
mmu-miR-19a-3p	-0.869553902397244	-0.644015461359454	0.687196598337373	3
mmu-miR-222-5p	-0.537799051263217	-0.13387603830397302	-0.7146526389290601	3
mmu-miR-25-5p	-1.29024652287179	0.308624424586041	-0.0634977375723634	3
mmu-miR-290a-5p	-0.567515717781958	-1.05770090878831	0.188104832507037	3
mmu-miR-291a-3p	-0.77160350385712	-1.09417557999627	-0.149471332263156	3
mmu-miR-291a-5p	-0.511541441881063	-1.3591384648836202	0.843066556555939	3
mmu-miR-291b-5p	-0.39619479258386403	-1.3705399941955598	-0.0499218723385484	3
mmu-miR-292a-3p	-0.607380777893296	-0.21352029123525698	0.6830433329961709	3
mmu-miR-292a-5p	-0.600682815122451	-0.673877082337588	0.531346685605445	3
mmu-miR-293-3p	-0.353659407433886	-0.315966113457594	-0.832589928924001	3
mmu-miR-293-5p	-0.8775106898199109	-0.793710082595865	0.685691113558283	3
mmu-miR-300-3p	-0.47270751931488997	-0.339950760928224	-0.131555983228499	3
mmu-miR-30a-5p	-0.7105039939064641	-0.0623041773655639	-0.177260115593901	3
mmu-miR-30e-5p	-0.6916808885438721	0.550342248976023	-0.5609258195273891	3
mmu-miR-324-3p	-0.73257653348881	-0.437635890536928	0.481921647605672	3
mmu-miR-328-3p	-0.401734006530511	-1.3182822536285201	0.310933785915892	3
mmu-miR-331-3p	-1.28345802345693	-0.7251620735688891	0.537034253643349	3
mmu-miR-335-5p	-0.854992729527125	-1.41870553690905	-0.349211771634945	3
mmu-miR-339-5p	-1.00540286168851	-0.653194301383201	0.0178402270661048	3
mmu-miR-341-3p	-0.34676484743167696	-0.540598930597674	-0.8310007893968729	3
mmu-miR-350-3p	-0.6117844344711121	0.0813903548283398	0.6989561751909189	3
mmu-miR-351-3p	-1.23579275785629	-0.7665844275054979	0.0	3
mmu-miR-378c	-0.627235062189421	-0.395204420588049	0.48445130632601396	3
mmu-miR-3968	-1.26178152891676	0.18965484096978302	-1.22605172040904	3
mmu-miR-409-3p	-1.2083045204083898	-1.08071476250223	0.8610759453735011	3
mmu-miR-411-3p	-0.534283094440055	-0.118479095604825	0.922721931411027	3
mmu-miR-431-5p	-0.582375532967656	-0.365125098494027	0.42296931877014793	3
mmu-miR-471-5p	-0.539043623352661	0.0356087369141702	1.1965688319813899	3
mmu-miR-483-5p	-0.15917498773391198	-2.10569517776304	0.0	3
mmu-miR-484	-0.8780797927698101	-1.26268727347507	0.394378352089361	3
mmu-miR-487b-3p	-0.534283094440055	-0.118479095604825	0.7717820157680451	3
mmu-miR-495-3p	-1.12252482056219	-0.736805921906643	0.541758691803266	3
mmu-miR-505-5p	-1.0689016790267099	-0.393180841527409	0.5161821915050561	3
mmu-miR-5100	-0.5342830926335851	-0.118479093798355	-0.985613101793487	3
mmu-miR-5128	-0.675808789957257	-0.40848952212179707	-0.644891610178841	3
mmu-miR-543-3p	-0.5342830926335851	-0.118479093798355	0.371628240849791	3
mmu-miR-669i	-0.5342830926335851	-0.118479093798355	0.0	3
mmu-miR-674-5p	-1.0007533655485301	-0.9397480370873001	-0.12874142050944998	3
mmu-miR-677-3p	-0.731625832864997	-0.324053476701017	1.3368256289968998	3
mmu-miR-708-5p	-0.6555595082971379	-0.465303423660557	-0.7707089336961609	3
mmu-miR-743b-3p	-0.47279128330931497	-0.497238514458545	-1.19944470478792	3
mmu-miR-744-5p	-0.128067527518642	-0.960194496905711	-0.632121167497954	3
mmu-miR-877-3p	-0.46653930889913	-0.48233318926108204	1.03951727378946	3
mmu-miR-92a-1-5p	-0.731625832864997	-0.324053476701017	-0.33728683589148106	3
mmu-miR-92a-3p	-0.7430909194917809	-0.40212868411788794	1.32654057085972	3
mmu-miR-92b-3p	-1.1196940359132	-0.43169388712249396	0.11308515906836901	3
mmu-miR-93-5p	-0.270837335394906	-1.7166859935677201	0.666054031812942	3
mmu-miR-96-5p	-0.37571426071847297	-0.7028167990654149	-0.787345805183917	3
mmu-miR-99b-3p	-1.1614996215234399	-0.136508798373354	0.188408709566315	3
