	logFC	pval	padj	DE_status	comparison
mmu-miR-10b-5p	2.8114179549384097	1.95640879105436e-08	7.92345560377016e-06	UP	mTor_ICM_VS_wt_ICM
mmu-miR-203-3p	4.06823937599978	0.00028479927414507	0.0384479020095845	UP	mTor_ICM_VS_wt_ICM
mmu-miR-672-5p	-3.18142466773305	5.3665374857828794e-05	0.0108672384087103	DOWN	mTor_ICM_VS_wt_ICM
mmu-miR-142a-5p	-4.29608936325386	9.67303496666633e-13	8.342992658749709e-11	DOWN	paused_E14_VS_wt_E14
mmu-miR-142a-3p	-4.1178218763490895	5.09880033050318e-10	2.93181019003933e-08	DOWN	paused_E14_VS_wt_E14
mmu-miR-1949	2.9597843099684704	1.75593311730447e-09	8.65424179242916e-08	UP	paused_E14_VS_wt_E14
mmu-miR-297b-5p	-4.71601823747679	0.00172047348288058	0.0228293596766846	DOWN	paused_E14_VS_wt_E14
mmu-miR-301a-3p	-1.71820781558658	3.03323202940915e-05	0.000615567676556563	DOWN	paused_E14_VS_wt_E14
mmu-miR-302a-3p	-5.63856968777658	0.000876627535087184	0.0126015208168783	DOWN	paused_E14_VS_wt_E14
mmu-miR-302b-3p	-5.33476327048955	1.08307403229633e-05	0.000266900386530167	DOWN	paused_E14_VS_wt_E14
mmu-miR-302d-3p	-4.94294205401334	4.54499360072742e-05	0.000825275153816294	DOWN	paused_E14_VS_wt_E14
mmu-miR-3473b	-3.8239590890383197	0.000687153628369769	0.0103073044255465	DOWN	paused_E14_VS_wt_E14
mmu-miR-34a-5p	-1.84341227585832	1.5230217081124301e-05	0.000350294992865859	DOWN	paused_E14_VS_wt_E14
mmu-miR-367-3p	-5.988283086996269	6.200800682850589e-09	2.67409529447932e-07	DOWN	paused_E14_VS_wt_E14
mmu-miR-466a-5p	-4.8846545327031	0.000153534319751392	0.00240769728701047	DOWN	paused_E14_VS_wt_E14
mmu-miR-466d-3p	-3.09344547922557	2.81903660472922e-06	8.104730238596509e-05	DOWN	paused_E14_VS_wt_E14
mmu-miR-466g	-3.36959022040219	2.0209893240964698e-14	2.3241377227109397e-12	DOWN	paused_E14_VS_wt_E14
mmu-miR-466h-5p	-3.7942453472290896	0.000109957474423079	0.00180644422266487	DOWN	paused_E14_VS_wt_E14
mmu-miR-466m-3p	-5.103937305466321	1.99680837105095e-05	0.00043056180500786	DOWN	paused_E14_VS_wt_E14
mmu-miR-467c-5p	-2.20724531723197	0.00378408031498081	0.0483521373580881	DOWN	paused_E14_VS_wt_E14
mmu-miR-467d-5p	-2.5522697030380095	0.00162122266815619	0.0223728728205554	DOWN	paused_E14_VS_wt_E14
mmu-miR-467e-5p	-2.55656332399212	9.51972187163032e-06	0.00025263877274711203	DOWN	paused_E14_VS_wt_E14
mmu-miR-669a-3-3p	-4.0112473619544105	2.79488669638197e-07	8.76578100228891e-06	DOWN	paused_E14_VS_wt_E14
mmu-miR-669b-3p	-3.62039284275136	1.1772919442443401e-08	4.5129524529366503e-07	DOWN	paused_E14_VS_wt_E14
mmu-miR-669c-5p	-4.36306962808352	1.7674398533770902e-12	1.21953349883019e-10	DOWN	paused_E14_VS_wt_E14
mmu-miR-669e-5p	-5.26961529377816	3.40594210413334e-05	0.000652805569958889	DOWN	paused_E14_VS_wt_E14
mmu-miR-669f-3p	-4.09890733341214	5.40171410112086e-22	1.8635913648867e-19	DOWN	paused_E14_VS_wt_E14
mmu-miR-669l-5p	-4.08556657371898	1.44106516522529e-07	4.97167482002725e-06	DOWN	paused_E14_VS_wt_E14
mmu-miR-669l-3p	-5.54237986638202	7.70519211545953e-05	0.0013291456399167699	DOWN	paused_E14_VS_wt_E14
mmu-miR-466f-3p	-3.70524916269525	7.60295219285288e-18	1.31150925326712e-15	DOWN	paused_E14_VS_wt_E14
