	diapaused_ICM	mTor_ICM	paused_E14	cluster
mmu-let-7b-5p	-0.284797051176397	1.64040563089262	-2.58667456375522	0
mmu-let-7d-3p	0.22428877362217103	0.199053736021308	-1.1236511286946298	0
mmu-let-7d-5p	1.9944761625411	0.39209010866500704	0.781503948391078	1
mmu-let-7e-5p	-0.394131861968568	-1.40011024569703	-1.63584523860123	2
mmu-let-7f-5p	-1.38404511567374	-0.548077283662641	0.0	3
mmu-let-7g-5p	1.0432832970979	0.88517502044738	0.542781188777234	1
mmu-let-7i-5p	1.2311820449835702	0.5175702860063139	-2.0676672885873	0
mmu-miR-101a-3p	-0.961005543253303	0.8055557157765358	0.39737884946998103	3
mmu-miR-101b-3p	0.805496807275075	0.545978096858002	-0.13302137795747698	0
mmu-miR-101b-5p	-0.7316258041646659	-0.32405348020299896	0.0	3
mmu-miR-106b-3p	1.1406452831500802	0.49479892461816294	0.0301056522933433	0
mmu-miR-106b-5p	0.258165968721989	-1.12430293594528	-0.0291388286033834	4
mmu-miR-1187	0.0	0.0	-3.28736366236427	5
mmu-miR-1195	0.0	0.0	0.173610347125097	4
mmu-miR-1198-5p	-1.68017085585704	-2.64327806129557	1.3414552096318	6
mmu-miR-1247-5p	-1.11372832488514	-0.5660490237912911	0.0	3
mmu-miR-125a-3p	0.23364818885211103	0.0	-1.67243387791983	0
mmu-miR-125a-5p	0.147810221291731	0.35621785030853204	0.684844568003169	4
mmu-miR-126a-3p	0.569900953126744	-0.21294752867375896	-0.308753386778544	0
mmu-miR-126a-5p	-0.8181006385419459	-0.8504236425099759	1.4665158007357202	3
mmu-miR-127-3p	-0.89196060962457	0.129758970282785	0.538961531087288	3
mmu-miR-127-5p	0.0	0.601051664154963	0.39773660512252	4
mmu-miR-129-2-3p	-0.534283094440055	-0.118479095604825	-0.35510956827218504	3
mmu-miR-1306-5p	0.263500321654142	0.0	3.0528369957282204	4
mmu-miR-130a-3p	-0.8735759294684828	-0.200977783841017	-1.14147117913729	3
mmu-miR-130b-3p	-0.506041632648627	-1.1044692253475	-0.214543571430043	3
mmu-miR-130b-5p	0.6869175489140229	-0.23057310841846398	1.48886312758052	4
mmu-miR-132-3p	0.17936174818549303	0.0	0.0	4
mmu-miR-134-5p	-2.5109579311084302	-1.2113442776340602	0.862062969496859	6
mmu-miR-135b-5p	-0.621287852723938	-1.37550862742733	-0.284136500892747	3
mmu-miR-136-3p	0.0430425432267836	0.0	0.643093490120227	4
mmu-miR-140-3p	-0.11489480030962501	-0.272403737936102	-0.351239940095088	4
mmu-miR-140-5p	0.0112731821034611	0.5587488214397579	0.674290406469745	4
mmu-miR-141-3p	1.5801735706172402	1.67425929594462	0.539699221675942	1
mmu-miR-141-5p	-0.45405980889615105	-0.724506107648789	0.7713267690026919	3
mmu-miR-142a-3p	-2.00904429067042	-2.5931429331882403	-4.1178218763490895	7
mmu-miR-142a-5p	-0.394050460476245	-0.17534873483080302	-4.29608936325386	5
mmu-miR-143-3p	-0.8449985038971078	0.7641323362662341	-0.187802096619664	3
mmu-miR-144-3p	-0.6957840030518979	-0.17477180378562301	0.517469426846698	3
mmu-miR-145a-5p	0.19598586509656002	0.0	0.9918309888211609	4
mmu-miR-146a-5p	-0.0263059481809726	1.17552097441329	1.50876481465312	4
mmu-miR-146b-5p	0.0664089871369685	1.2775309526791598	1.14666781618016	4
mmu-miR-147-3p	0.0	0.0	0.7184870544909291	4
mmu-miR-148a-3p	0.8387474439276241	1.16170371846325	1.72782442509445	1
mmu-miR-148b-3p	1.1041094252873	1.7018663984036002	-0.45937290860427404	8
mmu-miR-148b-5p	-0.0774517398835134	0.23476414676198798	-0.23069771255874696	4
mmu-miR-150-5p	0.0899709920378494	1.77884258777567	1.54387060770537	4
mmu-miR-151-3p	0.83798597341499	0.0	0.251827037572755	0
mmu-miR-151-5p	-0.0495421979454424	-0.470495018747697	0.525029494792893	4
mmu-miR-152-3p	3.36926965413735	2.46955883545886	-0.4948268783469821	1
mmu-miR-153-3p	0.15375892501713598	0.0	1.00796738847479	4
mmu-miR-154-3p	-0.380748872863837	-0.345882516205577	-1.02876329855411	3
mmu-miR-155-5p	-0.653269102526325	0.888943750335852	-0.727630706732938	3
mmu-miR-15a-5p	1.5833815895209802	1.39010361742273	-0.53509368201286	0
mmu-miR-15b-3p	0.0	0.0	0.685953979992668	4
mmu-miR-15b-5p	-0.0949604740519182	0.549022883387268	1.22567816611212	4
mmu-miR-16-1-3p	0.0	0.771594093092235	-0.979820205736126	0
mmu-miR-16-2-3p	0.307443262147193	0.0	0.5485799326521661	4
mmu-miR-17-3p	0.681298713434961	0.0	-0.52772186265266	0
mmu-miR-17-5p	-1.3057630196901	-2.43148045077711	-0.626281824208967	6
mmu-miR-181c-5p	0.0	0.0	-0.7259623203288	0
mmu-miR-181d-5p	-0.5612622413506639	-0.264188883377315	0.343609770231957	3
mmu-miR-182-5p	-0.32418301638873	-1.01119428871642	0.61605686307441	3
mmu-miR-183-5p	0.10756307599799302	-1.12347374314071	0.9333986843647859	4
mmu-miR-1839-3p	0.551763474334273	0.0	-1.53056646473557	0
mmu-miR-1839-5p	2.0260155011234002	1.5978297493590803	1.63265051990513	1
mmu-miR-1843b-3p	0.0	0.247923387932548	0.204568559678278	4
mmu-miR-185-5p	0.869905076485568	0.793230175358413	-0.9622510853707349	0
mmu-miR-186-5p	-1.1189054560695602	-3.00787822144121	-0.614630686339955	6
mmu-miR-188-5p	0.33594966152452405	-0.42499319648038203	-3.6508103027068297	5
mmu-miR-18a-3p	-0.172998107296194	-0.150844467078664	-1.03321937789368	0
