	diapaused_TE	mTor_TE	paused_TS	cluster
mmu-miR-101b-5p	0.0	0.0	0.19457214205904	6
mmu-miR-1195	-0.604494621846267	-0.248577946765633	-0.826868663174845	6
mmu-miR-1247-5p	0.0	0.0	0.7046279705541391	6
mmu-miR-125a-3p	-0.542488070883957	-0.26858264632971396	-0.0881513019819326	6
mmu-miR-129-2-3p	0.0	0.0	0.0	6
mmu-miR-130b-5p	0.0	0.0	0.0516308708257992	6
mmu-miR-132-3p	0.22432958614608298	0.0	-0.39036421316368297	6
mmu-miR-146a-5p	0.274188770236447	0.0	0.689570926345444	6
mmu-miR-147-3p	-0.0173225777338397	0.32242341657785495	-0.0188455958686233	6
mmu-miR-148b-5p	-0.0782208356814504	0.0	-0.0989667236000831	6
mmu-miR-151-3p	0.213095693223877	-0.142896796271585	-0.324711892208367	6
mmu-miR-151-5p	0.0988283851558681	0.30144414662910807	0.538943790573441	6
mmu-miR-153-3p	0.0	0.0	0.0218577680124285	6
mmu-miR-17-5p	0.45837624374391794	-0.695734809603473	0.47823575230091	6
mmu-miR-181c-5p	0.238528305992547	0.47852159375143893	0.7287670068170521	6
mmu-miR-182-5p	-0.514011316213114	-0.317351655297937	-0.255543668079603	6
mmu-miR-1843b-3p	0.0	0.323398917867931	0.0	6
mmu-miR-191-5p	-0.22687500048317302	-0.438967116255598	0.285823862158477	6
mmu-miR-1981-3p	-0.0767429659103603	0.0	0.0987431881696238	6
mmu-miR-19b-3p	0.0	0.0	0.578057568531407	6
mmu-miR-200a-3p	0.514603002887023	-0.0338096821765011	0.15243815374997302	6
mmu-miR-200a-5p	0.346197575279473	-0.397215763988361	-0.33488152009236893	6
mmu-miR-200b-3p	0.322647795192237	-0.170741902650037	-0.0248843292915689	6
mmu-miR-20a-3p	0.263514925409258	0.0	0.4749958337081239	6
mmu-miR-224-5p	0.0	0.0	0.0720195258090026	6
mmu-miR-23a-5p	0.7441996968263079	0.0	0.31519821129363107	6
mmu-miR-23b-3p	-0.0700442127110965	-0.0037019560709682397	0.27791415039847495	6
mmu-miR-24-1-5p	0.0	0.3074643302732539	0.3604022061717311	6
mmu-miR-27a-5p	0.0281965342024803	-0.0766576587407435	-0.20864308317748104	6
mmu-miR-27b-3p	0.25608025096895004	-0.271360445218031	0.40902210753055795	6
mmu-miR-27b-5p	0.22625743159527698	0.0	-0.0891720992125434	6
mmu-miR-28a-3p	1.00938511969847	0.00572612930670699	1.114552136522	6
mmu-miR-28a-5p	0.5907139388668211	0.0880035412079151	0.9757604893427729	6
mmu-miR-291a-3p	0.34041077571250394	0.0448127715490665	-0.390832317980021	6
mmu-miR-292a-3p	0.098101748761284	-0.0412851587071789	0.356013359341091	6
mmu-miR-292a-5p	-0.0838164042348414	-0.48628242524146703	0.14641911139415803	6
mmu-miR-293-3p	-0.0293590136944746	-0.233130812595572	-0.0139176985093628	6
mmu-miR-293-5p	-0.256718060334149	-0.35799006551959095	0.151486545770169	6
mmu-miR-294-3p	0.30937037211709695	0.0719251127707772	-0.0249527719940857	6
mmu-miR-295-3p	0.36208711982553793	0.25648756335213	-0.300110089373702	6
mmu-miR-297c-5p	-0.275204253535309	-0.29307245401868204	-0.0617664128053834	6
mmu-miR-299a-5p	0.0	0.0	0.23325181182239202	6
mmu-miR-29b-1-5p	0.0	0.49382371257545704	1.13119390492542	6
mmu-miR-301a-5p	-0.394359536033549	-0.07614368547728	-0.487240121026476	6
mmu-miR-302a-5p	0.0	0.0	0.0	6
mmu-miR-3068-3p	-0.00990441140796214	0.0	-0.0240474565627787	6
mmu-miR-3068-5p	-0.5417242344390979	-0.36638280881129	-0.622917107972816	6
mmu-miR-30a-5p	0.617994886600266	0.159437086296384	-0.16756990182175	6
mmu-miR-30b-3p	-0.212727852820243	-0.35757239135692703	-0.0443086355202242	6
mmu-miR-3102-3p	-0.009239027472900391	0.0	0.7476498779112679	6
mmu-miR-32-5p	0.172371538205949	-0.29142510040367603	0.27833540794228995	6
mmu-miR-322-3p	-0.39067075783560795	-0.130737172782341	-0.18974952335944698	6
mmu-miR-328-3p	1.09825808522093	-0.15882649687569697	0.223827571700553	6
mmu-miR-329-3p	0.0	0.0	0.28161080661519605	6
mmu-miR-33-3p	0.0	0.0	-0.132873034269381	6
mmu-miR-33-5p	0.0	0.333953268269145	-0.248652605586566	6
mmu-miR-330-5p	-0.00668973591188323	0.266811179876023	-0.0391513711272007	6
mmu-miR-331-3p	-0.26574233810353	-0.494738065978424	0.0951083539723183	6
mmu-miR-340-3p	0.0	0.0	-0.21291453874591898	6
mmu-miR-341-3p	0.0	0.0	-0.30777174204671004	6
mmu-miR-3473b	0.0	0.0	-0.0494735515150473	6
mmu-miR-350-3p	-0.0403754903174606	0.0	0.0918759762325486	6
mmu-miR-362-3p	-0.0275619010819872	0.6544626584999379	0.61539364967745	6
