	logFC	pval	padj	DE_status	comparison
mmu-miR-5126	-4.97444586002641	4.17810858962915e-07	0.00016921339787998	DOWN	diapaused_TE_VS_wt_TE
mmu-miR-10b-5p	1.96564082402668	9.29394025923549e-05	0.00941011451247593	UP	mTor_TE_VS_wt_TE
mmu-miR-148a-3p	1.8985202397202803	1.25039783920396e-07	2.53205562438803e-05	UP	mTor_TE_VS_wt_TE
mmu-miR-351-5p	-3.2486509040424503	1.10813409525983e-08	4.48794308580232e-06	DOWN	mTor_TE_VS_wt_TE
mmu-miR-503-5p	-3.19807210509812	0.000138142308871867	0.0111895270186212	DOWN	mTor_TE_VS_wt_TE
mmu-miR-672-5p	-3.7766836582791297	6.6944890760446e-05	0.009037560252660209	DOWN	mTor_TE_VS_wt_TE
mmu-miR-1949	-2.6203016725358	0.000400408034664752	0.0157493826968136	DOWN	paused_TS_VS_wt_TS
mmu-miR-2137	-2.3441057148204503	2.8531816961332e-05	0.00224450293429145	DOWN	paused_TS_VS_wt_TS
mmu-miR-335-5p	2.01204298115819	4.61390972136503e-05	0.00272220673560537	UP	paused_TS_VS_wt_TS
mmu-miR-376b-3p	-2.67712968823272	2.6699811214651e-05	0.00224450293429145	DOWN	paused_TS_VS_wt_TS
mmu-miR-5126	-2.4601968288490097	1.4787244137122e-07	3.4897896163608004e-05	DOWN	paused_TS_VS_wt_TS
mmu-miR-6240	-2.07599965928302	0.0005856052913188691	0.0197432641073219	DOWN	paused_TS_VS_wt_TS
mmu-miR-712-5p	-2.8049531181426	8.07658331009925e-05	0.00381214732236685	DOWN	paused_TS_VS_wt_TS
mmu-miR-712-3p	-2.66859137089624	0.00112273040524364	0.0331205469546874	DOWN	paused_TS_VS_wt_TS
