	diapaused_TE	mTor_TE	paused_TS	cluster
mmu-let-7b-5p	0.773535727069354	0.913851104995241	-2.9906656937032503	0
mmu-let-7d-3p	0.20269184449820998	0.0	-2.90360936442563	0
mmu-let-7d-5p	2.43023943891953	1.61572117459579	-1.26987954316057	1
mmu-let-7e-5p	-0.6783132741244	-1.45303096542678	0.591993044307481	2
mmu-let-7f-5p	0.860384956105092	2.5500865512239703	-1.73632742399843	3
mmu-let-7g-5p	1.02685509058141	0.21442389394950698	-0.523794408710263	4
mmu-let-7i-5p	1.4650240892109998	0.8599225204237572	-1.11805047465479	3
mmu-miR-101a-3p	0.7900449103306441	1.20806146310167	0.0320185396981289	3
mmu-miR-101b-3p	-0.5347413468009421	-0.36476393878901503	0.800934359665197	5
mmu-miR-101b-5p	0.0	0.0	0.19457214205904	6
mmu-miR-106b-3p	1.4029635517397498	0.19187773887776602	0.563522343023949	3
mmu-miR-106b-5p	-0.15949259580425598	-1.02388187913389	0.167272447664626	2
mmu-miR-1187	-0.9176474814692651	-0.593638809758055	-1.01735831512641	7
mmu-miR-1195	-0.604494621846267	-0.248577946765633	-0.826868663174845	6
mmu-miR-1198-5p	0.9491685037877199	1.4028200868777299	1.2156345028067	3
mmu-miR-1247-5p	0.0	0.0	0.7046279705541391	6
mmu-miR-125a-3p	-0.542488070883957	-0.26858264632971396	-0.0881513019819326	6
mmu-miR-125a-5p	-0.572461857497688	-1.2245489287928	1.26267799646074	5
mmu-miR-126a-3p	0.6896375205881011	1.7026102775368401	-0.10467690860704199	3
mmu-miR-126a-5p	-0.545193113286155	0.695978587418436	-0.7277767998134941	8
mmu-miR-127-3p	-0.381791170293459	0.0	-1.21028662693645	4
mmu-miR-127-5p	0.0	0.0	-2.8119189302964402	0
mmu-miR-129-2-3p	0.0	0.0	0.0	6
mmu-miR-1306-5p	-0.6232108213603721	-0.662860098998444	-0.579500026910936	7
mmu-miR-130a-3p	-0.485360486111277	-1.2488680783531398	0.424016206321073	2
mmu-miR-130b-3p	-1.3776821821351901	0.29856933404363395	0.483691748048871	8
mmu-miR-130b-5p	0.0	0.0	0.0516308708257992	6
mmu-miR-132-3p	0.22432958614608298	0.0	-0.39036421316368297	6
mmu-miR-134-5p	0.0	0.0	-1.1008188857213301	4
mmu-miR-135b-5p	3.3540273360999704	0.0	0.573703984571395	1
mmu-miR-136-3p	0.0	0.0	-0.9235407214305071	4
mmu-miR-140-3p	-0.63882545196846	-0.232925836355213	0.5450033483474	5
mmu-miR-140-5p	-0.836771751780341	-1.71864921216214	0.33113584043058697	2
mmu-miR-141-3p	1.38500551216212	0.397465454963516	0.708595429445817	3
mmu-miR-141-5p	0.0290180290390178	-0.660283520051943	1.72937399879175	5
mmu-miR-142a-3p	0.0	0.0	-2.21204398474356	0
mmu-miR-142a-5p	0.0	0.0	-1.8318931628620498	0
mmu-miR-143-3p	1.41355036901993	0.773913561913466	-0.419858894739791	3
mmu-miR-144-3p	0.0	0.0	-0.499777861386199	4
mmu-miR-145a-5p	-0.3952137596465779	-0.0757324360441591	-1.9287876240414301	0
mmu-miR-146a-5p	0.274188770236447	0.0	0.689570926345444	6
mmu-miR-146b-5p	-1.2096735754493102	0.16147922090599098	-1.00043921750566	7
mmu-miR-147-3p	-0.0173225777338397	0.32242341657785495	-0.0188455958686233	6
mmu-miR-148a-3p	1.40133758809199	1.8985202397202803	1.33239969495699	3
mmu-miR-148b-3p	-0.631087151503556	-0.9167177639107159	0.8223388177162141	5
mmu-miR-148b-5p	-0.0782208356814504	0.0	-0.0989667236000831	6
mmu-miR-150-5p	0.0	0.675864843167247	-2.2183054705441	0
mmu-miR-151-3p	0.213095693223877	-0.142896796271585	-0.324711892208367	6
mmu-miR-151-5p	0.0988283851558681	0.30144414662910807	0.538943790573441	6
mmu-miR-152-3p	-0.43940701773000107	-0.902265655882773	-0.429094113861796	7
mmu-miR-153-3p	0.0	0.0	0.0218577680124285	6
mmu-miR-154-3p	0.0	0.0	-3.44962525212876	0
mmu-miR-155-5p	-0.8053501700744641	1.3744206784668898	0.0	8
mmu-miR-15a-5p	0.0389697437359718	-0.221400764929886	-0.9811722113316791	4
mmu-miR-15b-3p	-0.604494621846267	-0.248577946765633	0.9276330041750079	5
mmu-miR-15b-5p	-0.640224975490144	-0.669035379834046	1.15513906325109	5
mmu-miR-16-1-3p	0.0	0.0	-1.81440090394708	0
mmu-miR-16-2-3p	0.0	0.0	1.46247322915355	5
mmu-miR-17-3p	0.00825977212754271	-0.41232802615516206	1.03669835567554	5
mmu-miR-17-5p	0.45837624374391794	-0.695734809603473	0.47823575230091	6
mmu-miR-181c-5p	0.238528305992547	0.47852159375143893	0.7287670068170521	6
mmu-miR-181d-5p	-0.513112563181317	0.134223581133668	0.7156496744543059	5
mmu-miR-182-5p	-0.514011316213114	-0.317351655297937	-0.255543668079603	6
mmu-miR-183-5p	-0.354504440727553	-0.99946705735195	0.25096787665818804	2
mmu-miR-1839-3p	-0.0573751671928301	0.0	1.41638323844536	5
mmu-miR-1839-5p	0.922487997086956	2.69148898003942	-0.84518016746382	3
mmu-miR-1843b-3p	0.0	0.323398917867931	0.0	6
mmu-miR-185-5p	0.18284589148564898	-0.485549443505184	-0.7605338648704849	4
mmu-miR-186-5p	-1.1598357059913502	-0.8198167068289081	-0.144456077178367	7
mmu-miR-188-5p	0.925377175989553	0.0	-0.509414693590541	4
mmu-miR-18a-3p	-0.0323369173570953	0.0	1.29705502364829	5
mmu-miR-18a-5p	-0.29994668426268606	-0.39788552764514795	0.8223905701157049	5
mmu-miR-191-5p	-0.22687500048317302	-0.438967116255598	0.285823862158477	6
mmu-miR-192-5p	-0.476309190186904	-0.12763489573880898	1.8269260468855801	5
mmu-miR-193a-5p	-0.198854619058231	-0.225887944802733	-1.3948100077956798	4
mmu-miR-193b-3p	0.0	0.0	-1.31732712386509	4
mmu-miR-1949	-0.31517713374432	-0.145923565840146	-2.6203016725358	0
mmu-miR-195a-5p	0.0	0.662901370962443	-0.707969971046021	8
mmu-miR-1981-3p	-0.0767429659103603	0.0	0.0987431881696238	6
mmu-miR-1981-5p	0.5374027965983371	-1.7883646180408301	-1.6079420292900801	2
mmu-miR-1983	-0.18458916382800003	-0.66305508608304	-1.27932091340547	4
mmu-miR-19a-3p	-0.037448233417614	-0.7297272504869391	1.04795031401785	5
mmu-miR-19b-3p	0.0	0.0	0.578057568531407	6
mmu-miR-200a-3p	0.514603002887023	-0.0338096821765011	0.15243815374997302	6
mmu-miR-200a-5p	0.346197575279473	-0.397215763988361	-0.33488152009236893	6
mmu-miR-200b-3p	0.322647795192237	-0.170741902650037	-0.0248843292915689	6
mmu-miR-200b-5p	-0.46267521785202503	0.7049862724683109	-1.7950904268813799	0
mmu-miR-200c-3p	0.6365698671504311	0.522478695912017	2.2434176571235	5
mmu-miR-203-3p	0.0628091104858232	0.799492502171224	-1.9461093476771598	0
mmu-miR-203-5p	0.0	0.493823696528229	-1.82445393148192	0
mmu-miR-205-5p	-1.34821650630065	0.339237409941376	-0.0637045949848942	8
mmu-miR-20a-3p	0.263514925409258	0.0	0.4749958337081239	6
mmu-miR-20a-5p	-0.5419472858165171	-0.20187246617734197	0.45090367753043803	5
mmu-miR-20b-5p	0.0	0.0	-2.97643500203802	0
mmu-miR-210-3p	0.810017720458855	0.0	-1.29617004747748	4
mmu-miR-2137	-2.98444082560843	-1.80826144595166	-2.3441057148204503	9
mmu-miR-214-3p	0.0	0.0	-1.6682081202988401	0
mmu-miR-21a-5p	0.34924498595741993	-0.00788364297662769	1.6762723937577502	5
mmu-miR-22-3p	0.0746725392364619	1.3691438083662701	0.560419701243559	3
mmu-miR-22-5p	0.19080432261381797	-0.287803922624714	0.9270700488489659	5
mmu-miR-221-3p	-1.20468614964071	0.6373455295169239	-3.0222866658815897	0
mmu-miR-222-3p	-0.389337127136203	-0.312679861950378	1.64285265124299	5
mmu-miR-222-5p	0.0473781517292842	0.0	-0.5007947937141229	4
mmu-miR-224-5p	0.0	0.0	0.0720195258090026	6
mmu-miR-23a-3p	2.2066967318525896	2.34809694801055	-0.0012933459275448	1
mmu-miR-23a-5p	0.7441996968263079	0.0	0.31519821129363107	6
mmu-miR-23b-3p	-0.0700442127110965	-0.0037019560709682397	0.27791415039847495	6
mmu-miR-24-1-5p	0.0	0.3074643302732539	0.3604022061717311	6
mmu-miR-24-2-5p	0.6973272510727769	-0.584086078130595	-0.569044418401072	4
mmu-miR-25-3p	1.38695518472117	1.2278788337034199	0.778228337956625	3
mmu-miR-25-5p	0.737321514004896	0.5665167311875191	-0.779010910985619	4
mmu-miR-26b-5p	0.7587104234178442	1.3883284048850602	0.31240221318408695	3
mmu-miR-27a-3p	1.65096763771737	0.9783489880702859	0.40001647737344503	3
mmu-miR-27a-5p	0.0281965342024803	-0.0766576587407435	-0.20864308317748104	6
mmu-miR-27b-3p	0.25608025096895004	-0.271360445218031	0.40902210753055795	6
mmu-miR-27b-5p	0.22625743159527698	0.0	-0.0891720992125434	6
mmu-miR-28a-3p	1.00938511969847	0.00572612930670699	1.114552136522	6
mmu-miR-28a-5p	0.5907139388668211	0.0880035412079151	0.9757604893427729	6
mmu-miR-290a-5p	-0.571604177748585	-1.6143887472594398	0.0520592798482509	2
mmu-miR-291a-3p	0.34041077571250394	0.0448127715490665	-0.390832317980021	6
mmu-miR-291a-5p	-0.401101500217625	-0.7614833789186222	0.43155318168876	2
mmu-miR-291b-3p	0.0454095109390406	-0.7335591394557671	-0.6179995793651529	4
mmu-miR-291b-5p	-0.5544718538264449	-1.06355501068889	0.271953339870855	2
mmu-miR-292a-3p	0.098101748761284	-0.0412851587071789	0.356013359341091	6
mmu-miR-292a-5p	-0.0838164042348414	-0.48628242524146703	0.14641911139415803	6
mmu-miR-293-3p	-0.0293590136944746	-0.233130812595572	-0.0139176985093628	6
mmu-miR-293-5p	-0.256718060334149	-0.35799006551959095	0.151486545770169	6
mmu-miR-294-3p	0.30937037211709695	0.0719251127707772	-0.0249527719940857	6
mmu-miR-294-5p	-0.243524480029437	-0.696465056256334	0.17950194809655998	2
mmu-miR-295-3p	0.36208711982553793	0.25648756335213	-0.300110089373702	6
mmu-miR-295-5p	-0.7032353794806511	-1.2897008846709	0.18185334855202	2
mmu-miR-296-3p	-1.1412311107221	-1.6668593470779898	0.24929675640352	2
mmu-miR-296-5p	-0.7966895413040501	0.0834854033917735	0.37357783655921795	5
mmu-miR-297b-5p	-1.2694255040148401	-0.8857634272614621	-0.8402557229289029	7
mmu-miR-297c-5p	-0.275204253535309	-0.29307245401868204	-0.0617664128053834	6
mmu-miR-298-5p	-0.7844806705658629	-1.8736357311581	0.24109526872870396	2
mmu-miR-299a-5p	0.0	0.0	0.23325181182239202	6
mmu-miR-29a-3p	1.13332024182998	2.96538949032501	0.522676860408502	3
mmu-miR-29b-1-5p	0.0	0.49382371257545704	1.13119390492542	6
mmu-miR-300-3p	0.0	0.0	-2.1351519518116997	0
mmu-miR-301a-3p	-0.8945099831870921	-1.27072194677672	0.106614926590351	2
mmu-miR-301a-5p	-0.394359536033549	-0.07614368547728	-0.487240121026476	6
mmu-miR-301b-3p	-0.5933011724801961	-0.26110062307579895	0.247312263245374	5
mmu-miR-302a-3p	0.0	0.0	-1.21924783236856	4
mmu-miR-302a-5p	0.0	0.0	0.0	6
mmu-miR-302b-3p	0.0	0.0	-1.29566999458516	4
mmu-miR-302d-3p	0.0	0.0	-1.28595393084375	4
mmu-miR-3068-3p	-0.00990441140796214	0.0	-0.0240474565627787	6
mmu-miR-3068-5p	-0.5417242344390979	-0.36638280881129	-0.622917107972816	6
mmu-miR-30a-3p	0.519663763706129	0.838435820631624	0.17290635782148403	3
mmu-miR-30a-5p	0.617994886600266	0.159437086296384	-0.16756990182175	6
mmu-miR-30b-3p	-0.212727852820243	-0.35757239135692703	-0.0443086355202242	6
mmu-miR-30b-5p	2.26903300375592	1.65349180047087	0.680202966260249	1
mmu-miR-30d-5p	1.4277225953760002	1.49242620508102	1.9502135445959699	3
mmu-miR-30e-3p	-0.471559521516982	1.15487308289908	0.9081789097330479	8
mmu-miR-30e-5p	-0.707333561872583	0.6620245227271829	0.731339293240234	8
mmu-miR-31-5p	-0.139314069484609	-0.8663526938484979	0.3381104627081551	2
mmu-miR-3102-3p	-0.009239027472900391	0.0	0.7476498779112679	6
mmu-miR-32-5p	0.172371538205949	-0.29142510040367603	0.27833540794228995	6
mmu-miR-320-3p	-0.592637285211642	1.13623940559499	-0.7925024134219019	8
mmu-miR-322-3p	-0.39067075783560795	-0.130737172782341	-0.18974952335944698	6
mmu-miR-322-5p	0.194275734396945	-0.0210085918581451	-1.00150519458558	4
mmu-miR-323-3p	-0.902727382886088	-0.22446946353463798	-0.8214176643357008	7
mmu-miR-324-3p	1.31946796068089	0.680754456208823	-0.0145362138925451	3
mmu-miR-324-5p	0.8626296923138601	-0.8783897116840409	-0.315592673838977	4
mmu-miR-328-3p	1.09825808522093	-0.15882649687569697	0.223827571700553	6
mmu-miR-329-3p	0.0	0.0	0.28161080661519605	6
mmu-miR-33-3p	0.0	0.0	-0.132873034269381	6
mmu-miR-33-5p	0.0	0.333953268269145	-0.248652605586566	6
mmu-miR-330-3p	-0.137807755622821	-0.7918212460265541	0.25259195652052396	2
mmu-miR-330-5p	-0.00668973591188323	0.266811179876023	-0.0391513711272007	6
mmu-miR-331-3p	-0.26574233810353	-0.494738065978424	0.0951083539723183	6
mmu-miR-335-3p	0.0	0.0	1.8827187263807699	5
mmu-miR-335-5p	-1.5784430727197098	-0.40727092471404097	2.01204298115819	5
mmu-miR-338-3p	0.0	0.676527193778026	-0.713481491169511	8
mmu-miR-339-5p	0.0724538079173264	1.5425759585599599	-0.0908935817484794	3
mmu-miR-340-3p	0.0	0.0	-0.21291453874591898	6
mmu-miR-340-5p	-0.0191900551310295	-0.948194203459978	0.53586132418043	2
mmu-miR-341-3p	0.0	0.0	-0.30777174204671004	6
mmu-miR-342-3p	0.178900711445138	0.0	1.56316360925463	5
mmu-miR-345-3p	-0.34500328271935804	0.280356631382422	-0.9500950921502809	4
mmu-miR-3470b	0.0	0.505408168367198	-1.4569711549654099	4
mmu-miR-3473b	0.0	0.0	-0.0494735515150473	6
mmu-miR-3473e	0.0	0.0	-1.7892543749451202	0
mmu-miR-34a-3p	-0.804240820285836	-0.465671048245048	-0.526455792561697	7
mmu-miR-34a-5p	1.39183714656654	-0.497397154037206	-0.80177716203378	4
mmu-miR-350-3p	-0.0403754903174606	0.0	0.0918759762325486	6
mmu-miR-351-3p	-0.305105878175357	-2.45765811582936	-0.562608174163454	2
mmu-miR-351-5p	-0.801242626879854	-3.2486509040424503	-0.0871274106342294	2
mmu-miR-3535	-1.1667586165433	0.9036664756030319	-0.135389118671624	8
