	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-let-7g-5p	1.0432832970979	0.88517502044738	1.02685509058141	0.21442389394950698	4
mmu-let-7i-5p	1.2311820449835702	0.5175702860063139	1.4650240892109998	0.8599225204237572	4
mmu-miR-106b-3p	1.1406452831500802	0.49479892461816294	1.4029635517397498	0.19187773887776602	4
mmu-miR-141-3p	1.5801735706172402	1.67425929594462	1.38500551216212	0.397465454963516	4
mmu-miR-152-3p	3.36926965413735	2.46955883545886	-0.43940701773000107	-0.902265655882773	4
mmu-miR-15a-5p	1.5833815895209802	1.39010361742273	0.0389697437359718	-0.221400764929886	4
mmu-miR-185-5p	0.869905076485568	0.793230175358413	0.18284589148564898	-0.485549443505184	4
mmu-miR-200a-3p	1.52171204216284	1.44912164076972	0.514603002887023	-0.0338096821765011	4
mmu-miR-200b-3p	1.23198642075027	1.4152030868127599	0.322647795192237	-0.170741902650037	4
mmu-miR-200c-3p	1.18701579102475	0.978491146807933	0.6365698671504311	0.522478695912017	4
mmu-miR-215-5p	2.27500423173004	0.42317573743585707	2.01956424380828	-0.7837770933029442	4
mmu-miR-21a-5p	1.18924793910791	2.46720586850956	0.34924498595741993	-0.00788364297662769	4
mmu-miR-27b-3p	1.18623593912577	2.90850496123386	0.25608025096895004	-0.271360445218031	4
mmu-miR-28a-5p	1.3516243614160202	0.9219805485739541	0.5907139388668211	0.0880035412079151	4
mmu-miR-322-5p	0.6885970507406058	1.78142303902748	0.194275734396945	-0.0210085918581451	4
mmu-miR-34a-5p	0.9014248183678449	1.11747450140671	1.39183714656654	-0.497397154037206	4
mmu-miR-429-3p	1.4604819489844998	0.447465136448086	1.00045839531341	0.06066139174496201	4
mmu-miR-470-5p	1.42278998096174	1.43565515152908	0.27623210087517797	-0.146424256703655	4
mmu-miR-483-3p	0.9144037148145979	1.05189594956145	0.272035421832037	-0.29597670024472994	4
mmu-miR-669f-3p	2.90099254580311	1.7832920884696901	0.7517622063202422	-0.288958793823643	4
