	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-let-7b-5p	-0.284797051176397	1.64040563089262	0.773535727069354	0.913851104995241	0
mmu-let-7b-3p	0.0	0.421670632942209	-0.076140742898369	0.0	1
mmu-let-7d-5p	1.9944761625411	0.39209010866500704	2.43023943891953	1.61572117459579	2
mmu-let-7d-3p	0.22428877362217103	0.199053736021308	0.20269184449820998	0.0	1
mmu-let-7e-5p	-0.394131861968568	-1.40011024569703	-0.6783132741244	-1.45303096542678	3
mmu-let-7g-5p	1.0432832970979	0.88517502044738	1.02685509058141	0.21442389394950698	4
mmu-let-7i-5p	1.2311820449835702	0.5175702860063139	1.4650240892109998	0.8599225204237572	4
mmu-miR-100-5p	-1.0687503354046999	1.09645268976437	0.7706864033276708	1.11326171446569	0
mmu-miR-101a-3p	-0.961005543253303	0.8055557157765358	0.7900449103306441	1.20806146310167	0
mmu-miR-101b-5p	-0.7316258041646659	-0.32405348020299896	0.0	0.0	1
mmu-miR-101b-3p	0.805496807275075	0.545978096858002	-0.5347413468009421	-0.36476393878901503	5
mmu-miR-101c	-0.20502598205386102	0.0	0.1000089248423	0.307224639366657	1
mmu-miR-106b-5p	0.258165968721989	-1.12430293594528	-0.15949259580425598	-1.02388187913389	3
mmu-miR-106b-3p	1.1406452831500802	0.49479892461816294	1.4029635517397498	0.19187773887776602	4
mmu-miR-10a-5p	1.6799125068837601	2.31794207059385	1.72547437497475	1.5604218552737599	2
mmu-miR-10b-5p	1.8779270200250602	2.8114179549384097	0.7883737619135659	1.96564082402668	2
mmu-miR-10b-3p	0.3077289485110711	1.2897382875465901	0.033299878758945	1.0654750644536601	0
mmu-miR-1187	0.0	0.0	-0.9176474814692651	-0.593638809758055	1
mmu-miR-1195	0.0	0.0	-0.604494621846267	-0.248577946765633	1
mmu-miR-1198-5p	-1.68017085585704	-2.64327806129557	0.9491685037877199	1.4028200868777299	6
mmu-miR-122-5p	-1.4618266657308001	-0.579410588165844	-1.23516202981518	0.577474973060693	7
mmu-miR-122-3p	0.0	0.601051665072124	0.0	0.0	1
mmu-miR-1247-5p	-1.11372832488514	-0.5660490237912911	0.0	0.0	1
mmu-miR-1247-3p	0.0	0.0	0.0	0.333953268269145	1
mmu-miR-1249-3p	1.17119933350849	0.41602178078871793	-1.6700485293288503	-0.307456685811282	5
mmu-miR-125a-5p	0.147810221291731	0.35621785030853204	-0.572461857497688	-1.2245489287928	5
mmu-miR-125a-3p	0.23364818885211103	0.0	-0.542488070883957	-0.26858264632971396	1
mmu-miR-125b-2-3p	-0.191287716555809	0.0	-0.0753422950657639	0.31684390902399	1
mmu-miR-126a-5p	-0.8181006385419459	-0.8504236425099759	-0.545193113286155	0.695978587418436	1
mmu-miR-126a-3p	0.569900953126744	-0.21294752867375896	0.6896375205881011	1.7026102775368401	0
mmu-miR-127-5p	0.0	0.601051664154963	0.0	0.0	1
mmu-miR-127-3p	-0.89196060962457	0.129758970282785	-0.381791170293459	0.0	1
mmu-miR-129-2-3p	-0.534283094440055	-0.118479095604825	0.0	0.0	1
mmu-miR-1306-5p	0.263500321654142	0.0	-0.6232108213603721	-0.662860098998444	1
mmu-miR-130a-3p	-0.8735759294684828	-0.200977783841017	-0.485360486111277	-1.2488680783531398	1
mmu-miR-130b-5p	0.6869175489140229	-0.23057310841846398	0.0	0.0	1
mmu-miR-130b-3p	-0.506041632648627	-1.1044692253475	-1.3776821821351901	0.29856933404363395	7
mmu-miR-132-3p	0.17936174818549303	0.0	0.22432958614608298	0.0	1
mmu-miR-134-5p	-2.5109579311084302	-1.2113442776340602	0.0	0.0	6
mmu-miR-135b-5p	-0.621287852723938	-1.37550862742733	3.3540273360999704	0.0	0
mmu-miR-136-3p	0.0430425432267836	0.0	0.0	0.0	1
mmu-miR-137-3p	0.0	0.4146993371652629	0.0416765459540977	0.0	1
mmu-miR-140-5p	0.0112731821034611	0.5587488214397579	-0.836771751780341	-1.71864921216214	5
mmu-miR-140-3p	-0.11489480030962501	-0.272403737936102	-0.63882545196846	-0.232925836355213	1
mmu-miR-141-5p	-0.45405980889615105	-0.724506107648789	0.0290180290390178	-0.660283520051943	1
mmu-miR-141-3p	1.5801735706172402	1.67425929594462	1.38500551216212	0.397465454963516	4
mmu-miR-142a-5p	-0.394050460476245	-0.17534873483080302	0.0	0.0	1
mmu-miR-142a-3p	-2.00904429067042	-2.5931429331882403	0.0	0.0	6
mmu-miR-143-3p	-0.8449985038971078	0.7641323362662341	1.41355036901993	0.773913561913466	0
mmu-miR-144-5p	-0.8901711589111421	-0.560545740036146	0.0522218711606606	0.6744346546087739	1
mmu-miR-144-3p	-0.6957840030518979	-0.17477180378562301	0.0	0.0	1
mmu-miR-145a-5p	0.19598586509656002	0.0	-0.3952137596465779	-0.0757324360441591	1
mmu-miR-146a-5p	-0.0263059481809726	1.17552097441329	0.274188770236447	0.0	1
mmu-miR-146b-5p	0.0664089871369685	1.2775309526791598	-1.2096735754493102	0.16147922090599098	8
mmu-miR-147-5p	-0.6774581554803929	-0.9371446083489101	-0.804960622038188	-2.68767456616835	3
mmu-miR-147-3p	0.0	0.0	-0.0173225777338397	0.32242341657785495	1
mmu-miR-148a-5p	0.374290232477298	0.281042187585344	0.0	0.0	1
mmu-miR-148a-3p	0.8387474439276241	1.16170371846325	1.40133758809199	1.8985202397202803	2
mmu-miR-148b-5p	-0.0774517398835134	0.23476414676198798	-0.0782208356814504	0.0	1
mmu-miR-148b-3p	1.1041094252873	1.7018663984036002	-0.631087151503556	-0.9167177639107159	5
mmu-miR-150-5p	0.0899709920378494	1.77884258777567	0.0	0.675864843167247	0
mmu-miR-151-5p	-0.0495421979454424	-0.470495018747697	0.0988283851558681	0.30144414662910807	1
mmu-miR-151-3p	0.83798597341499	0.0	0.213095693223877	-0.142896796271585	1
mmu-miR-152-3p	3.36926965413735	2.46955883545886	-0.43940701773000107	-0.902265655882773	4
mmu-miR-153-3p	0.15375892501713598	0.0	0.0	0.0	1
mmu-miR-154-3p	-0.380748872863837	-0.345882516205577	0.0	0.0	1
mmu-miR-155-5p	-0.653269102526325	0.888943750335852	-0.8053501700744641	1.3744206784668898	8
mmu-miR-15a-5p	1.5833815895209802	1.39010361742273	0.0389697437359718	-0.221400764929886	4
mmu-miR-15b-5p	-0.0949604740519182	0.549022883387268	-0.640224975490144	-0.669035379834046	1
mmu-miR-15b-3p	0.0	0.0	-0.604494621846267	-0.248577946765633	1
mmu-miR-16-1-3p	0.0	0.771594093092235	0.0	0.0	1
mmu-miR-16-2-3p	0.307443262147193	0.0	0.0	0.0	1
mmu-miR-17-5p	-1.3057630196901	-2.43148045077711	0.45837624374391794	-0.695734809603473	6
