	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-let-7b-5p	-1.99894760277923	-1.92471261996869	-1.50395037117118	-1.50960639175875	-1.66181647951816	-1.0958835362280799	-1.31420810625446	0.929056266942616	-1.16122953932175	1.7818430605216298	-0.21706267596587803	-1.30925812193358	4.6928242570269605	4.29882934937149	4.86438519780157	4.20652581613005	5.55576902767717	4.416406182758441	4.9791501782805705	4.97514078334166	7.5267212583457805	4.14016409224352	4.975122816679111	5.541160415592329	4.97077105443895	4.82220139058105	3.89002720049849	4.361102978362879
mmu-let-7d-5p	0.902454937645349	1.6358138657536299	1.8692578937790099	3.2074928937367004	3.15215888192985	3.3184642081679	1.1265986046006002	0.344550420779729	1.38932926820871	4.26836662337721	4.15497241982706	4.74068133059534	4.02526413880092	3.9473150264189796	4.19305613938761	3.7790130986590897	4.12278002961396	3.7330489146926498	2.53716345105306	2.3754199183040803	3.66338252795502	3.5037503944536095	3.25223809332808	3.1208427749266	2.09372779576171	2.9821196448205094	2.5096074792264904	2.0776534203426102
mmu-let-7d-3p	-1.6129885958205301	-1.55561134205167	-0.009484895638681521	-1.1718196305136699	-1.33653540247802	0.10822322166139099	-0.9603672891404691	0.566818997973297	-0.794819899231922	1.8023122978530801	1.24783684892997	1.3529950168523202	-1.3540259654273998	-0.944823037078985	-1.35125775840202	-1.35202150748367	-1.16367140203597	-1.26133836774029	-1.11453376785833	-1.2592342864158999	-1.25070548581798	-1.29977451979925	-1.28882165546517	-1.28642928190227	-1.2315979355778799	-1.31452828723004	-1.3310560560799	-1.34895764729228
mmu-let-7e-5p	-1.0149759943311298	0.6301248607475028	1.4341896557861298	4.15730398873593	5.0328793961449	4.72794203954863	2.25363765353594	0.3731086042781261	2.08636853207872	4.3306802512523	3.5188365329903197	4.34026736316068	3.5101772780048	3.75597524272379	4.07678698039554	3.94502232180943	3.54011407168805	4.3656600421394405	2.97670030612822	2.5837707901846	3.68880175293741	3.67987629704044	3.09508263754163	3.45677782883207	3.89992839483774	4.20249738391802	4.6120948192135796	4.43381693368126
mmu-let-7g-5p	3.21960141806813	3.2387399518081303	4.072753417704971	4.90682015956222	4.7094493649091795	5.676145392059059	2.7860040962215096	2.5364890210653903	3.6084225354114197	5.620879656023639	5.42934805071941	5.97167197889029	5.015814206946709	5.3059033024113	5.14591065262004	4.85924640330501	4.94267943720077	4.65697783059994	5.14823813049393	4.53899950259254	5.249173041328519	4.01287873086516	4.432429393084799	4.07725046616682	4.5185216936264405	4.17168217385571	4.39254423833629	3.51204508141933
mmu-let-7i-5p	1.2034811825687801	0.0736589282015512	0.761376717507817	1.80553671580214	1.52546672018054	3.0192486309557096	2.16624094766202	2.9875784587650798	1.99272013594596	3.49271979185624	3.06778187210658	3.3650399120172296	3.02596342809338	3.0571898883578394	2.65357642289881	2.4564469898252597	3.0896059235496303	2.0570585991296	1.8466134860446901	2.56369439870824	2.8556835884521004	2.86001642649041	1.7941441813976202	1.80799966164928	2.5052989389138	1.91311999002509	2.00518635253967	1.62954511351189
mmu-miR-101a-3p	6.37652118431726	6.11088276932727	5.73519754048358	7.22943399120652	7.150426907310849	8.18026742712008	5.63184588953719	5.75320578887915	5.79298598234105	7.91107403614506	7.01142719781079	7.64472843520938	4.58851302577784	3.91571274536914	4.4311846982107905	5.4000338135015	5.33356918194148	5.093641870717581	4.88793588732608	5.38219875144361	6.70585266462102	5.4977147818816	5.58407909908538	5.83049335572411	5.32490121397445	5.04864043554191	4.419312957022269	4.73359394870186
mmu-miR-101b-5p	-2.08342699669232	-2.03868081239059	-1.80420725731336	-0.58439008501394	-1.89217956888862	-2.1116978274111204	-1.69847167021976	-1.5560755254594099	-1.6132229851444098	-1.69173966874127	-1.73245439109402	-1.00932619643666	-2.1861766940803604	-2.1595152479241397	-2.1660874360899	-2.1753087817126397	-2.18832373531534	-2.18427179869512	-2.0504941090536	-2.02678623603396	-2.01695623777427	-2.07351149582056	-2.0608876062001498	-2.05813023982843	-1.6139642483951797	-2.09051617385277	-2.10956550407986	-2.14198414377261
mmu-miR-101b-3p	5.33490533578278	5.23583137740637	4.97661841047248	5.79041004094321	5.50201886778391	6.608047068202491	4.939532661156839	5.69957850785288	5.27954658410662	5.88236484778851	4.66135222629648	4.80737614999183	5.27465082280486	5.421591545670969	5.383663809405	4.96277713681644	5.19264631194376	5.18871818353582	5.2725404709279005	5.03724747660792	5.07127713938935	5.31440236739566	5.08956056030753	5.37609657555013	4.9229915953467405	4.55080681277034	5.4415271280001605	5.692138027054201
mmu-miR-106b-5p	4.43532054440353	4.66949711937498	4.56338067454825	2.63514784583558	3.79680281886863	3.9984958899728	4.16343238434434	5.01197965047115	4.49167938799435	3.57692270274323	2.91334853205383	3.7958366190320803	2.58664851681753	2.4193945290309	2.19670183944484	1.20538357217799	1.69684432107965	1.8279776927203601	1.8031365512293798	1.16084970189494	1.9932273705505	1.0445107844530999	1.74620082605441	1.08198573761969	2.12239886738987	2.3649217750367595	1.84762475847092	1.5108058686959698
