	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-let-7b-5p	4.6928242570269605	4.29882934937149	4.86438519780157	4.20652581613005	5.55576902767717	4.416406182758441	4.9791501782805705	4.97514078334166	7.5267212583457805	4.14016409224352	4.975122816679111	5.541160415592329	4.97077105443895	4.82220139058105	3.89002720049849	4.361102978362879
mmu-let-7b-3p	-2.0285384973967098	-2.01391179334368	-2.01962377569469	-2.02562784349524	-1.9258386134116	-2.02724848962418	-1.9191599686226601	-1.89855511847949	-1.55890588774286	-1.93916470732814	-1.9281931050406997	-1.92579663865031	-1.87087148789462	-1.95394371522548	-1.97049975947002	-1.99867526100746
mmu-let-7d-5p	4.02526413880092	3.9473150264189796	4.19305613938761	3.7790130986590897	4.12278002961396	3.7330489146926498	2.53716345105306	2.3754199183040803	3.66338252795502	3.5037503944536095	3.25223809332808	3.1208427749266	2.09372779576171	2.9821196448205094	2.5096074792264904	2.0776534203426102
mmu-let-7d-3p	-1.3540259654273998	-0.944823037078985	-1.35125775840202	-1.35202150748367	-1.16367140203597	-1.26133836774029	-1.11453376785833	-1.2592342864158999	-1.25070548581798	-1.29977451979925	-1.28882165546517	-1.28642928190227	-1.2315979355778799	-1.31452828723004	-1.3310560560799	-1.34895764729228
mmu-let-7e-5p	3.5101772780048	3.75597524272379	4.07678698039554	3.94502232180943	3.54011407168805	4.3656600421394405	2.97670030612822	2.5837707901846	3.68880175293741	3.67987629704044	3.09508263754163	3.45677782883207	3.89992839483774	4.20249738391802	4.6120948192135796	4.43381693368126
mmu-let-7g-5p	5.015814206946709	5.3059033024113	5.14591065262004	4.85924640330501	4.94267943720077	4.65697783059994	5.14823813049393	4.53899950259254	5.249173041328519	4.01287873086516	4.432429393084799	4.07725046616682	4.5185216936264405	4.17168217385571	4.39254423833629	3.51204508141933
mmu-let-7i-5p	3.02596342809338	3.0571898883578394	2.65357642289881	2.4564469898252597	3.0896059235496303	2.0570585991296	1.8466134860446901	2.56369439870824	2.8556835884521004	2.86001642649041	1.7941441813976202	1.80799966164928	2.5052989389138	1.91311999002509	2.00518635253967	1.62954511351189
mmu-miR-100-5p	0.388271806955401	0.145746760176763	0.140169200494484	0.47134147138784105	1.32979903112681	0.42592271598097	0.268734216779745	1.09117171204542	1.1411443919851998	1.0807796764939102	0.254916086196371	1.35459837182917	0.3772444777127039	0.542832420457004	0.48524207715772705	0.584226643371643
mmu-miR-101a-3p	4.58851302577784	3.91571274536914	4.4311846982107905	5.4000338135015	5.33356918194148	5.093641870717581	4.88793588732608	5.38219875144361	6.70585266462102	5.4977147818816	5.58407909908538	5.83049335572411	5.32490121397445	5.04864043554191	4.419312957022269	4.73359394870186
mmu-miR-101b-5p	-2.1861766940803604	-2.1595152479241397	-2.1660874360899	-2.1753087817126397	-2.18832373531534	-2.18427179869512	-2.0504941090536	-2.02678623603396	-2.01695623777427	-2.07351149582056	-2.0608876062001498	-2.05813023982843	-1.6139642483951797	-2.09051617385277	-2.10956550407986	-2.14198414377261
mmu-miR-101b-3p	5.27465082280486	5.421591545670969	5.383663809405	4.96277713681644	5.19264631194376	5.18871818353582	5.2725404709279005	5.03724747660792	5.07127713938935	5.31440236739566	5.08956056030753	5.37609657555013	4.9229915953467405	4.55080681277034	5.4415271280001605	5.692138027054201
mmu-miR-101c	-1.79945538169947	-1.85832924697423	-1.85900904160656	-1.77989956270309	-1.80897866952449	-1.86009580591799	-1.80456178748068	-1.79286944858689	-1.78802145269613	-1.8159135897408798	-1.80968769189347	-1.7143838617504599	-1.7771602156461102	-1.8243000214620102	-1.83369484252126	-1.84968319041942
mmu-miR-106b-5p	2.58664851681753	2.4193945290309	2.19670183944484	1.20538357217799	1.69684432107965	1.8279776927203601	1.8031365512293798	1.16084970189494	1.9932273705505	1.0445107844530999	1.74620082605441	1.08198573761969	2.12239886738987	2.3649217750367595	1.84762475847092	1.5108058686959698
mmu-miR-106b-3p	-0.16470830127401997	0.04335331349428799	0.11860918210443501	-0.00498996464752337	0.21929026394998602	0.0352652718427504	0.0338753271064493	-0.24852440211694	-0.23094782380479897	-0.314662612654169	-0.307946106168682	0.0136259300902412	-0.191570029788802	-0.32307973774536697	-0.331620822082089	-0.169044450076056
mmu-miR-10a-5p	3.8071398500467404	3.79971012521961	3.77030784124663	4.17082903803469	6.06293632589039	4.02275329575604	4.14166502077938	4.6077414166147195	4.13614412594938	4.46023238856882	5.5497716635245995	4.63909889725112	2.92173121810554	2.4368422046835096	3.9098078976226	3.39883892491275
