baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-let-7b-5p	1.21666198820929	-2.58667456375522	1.91664037375668	-1.0443858380749	0.29630691311972	1
mmu-let-7d-5p	9.61382202419284	0.781503948391078	1.06945033959585	0.183778002954486	0.854187613305783	1
mmu-let-7d-3p	1.62881711791725	-1.12365112869463	1.70461178172926	-0.316018364854313	0.75198856877343	1
mmu-let-7e-5p	13.0391227620085	-1.63584523860123	1.00120481327706	-1.04961814400433	0.293893711695698	1
mmu-let-7e-3p	0.331545029384958	0	2.12879519868154	0	1	NA
mmu-let-7f-2-3p	0.352805751385318	-0.278519024163209	2.11877245835299	0	1	NA
mmu-let-7g-5p	27.5986712231819	0.542781188777234	0.598488873089047	0	1	1
mmu-let-7i-5p	5.90599208696774	-2.0676672885873	0.957717425841439	-1.54816519764529	0.121582528160599	0.643595875492482
mmu-let-7i-3p	1.05282801504429	-0.385093012774889	1.77136398139553	0	1	NA
mmu-miR-101a-5p	2.17384933529954	-1.234339054197	1.64890984145052	-0.39382174643618	0.693712647893436	1
mmu-miR-101a-3p	127.512559517843	0.397378849469981	0.381887344617299	0	1	1
mmu-miR-101b-5p	0.333519949366759	0	2.15986753734789	0	1	NA
mmu-miR-101b-3p	45.3542908445023	-0.133021377957477	0.454634747644888	0	1	1
mmu-miR-103-2-5p	0.601789781890302	0.176067992056635	1.92080755739647	0	1	NA
mmu-miR-106a-5p	161.821691383828	-0.141019626091568	0.255012559809691	0	1	1
mmu-miR-106a-3p	1.27880309773179	-0.26937683608646	1.62078974990323	0	1	1
mmu-miR-106b-5p	17.9810511015966	-0.0291388286033834	0.494349735679182	0	1	1
mmu-miR-106b-3p	8.18907620034651	0.0301056522933433	0.707186884238757	0	1	1
mmu-miR-107-3p	0.273680885645501	0	2.1624839830629	0	1	NA
mmu-miR-10a-3p	0.167675948262749	-0.257534463567729	2.16212748762516	0	1	NA
mmu-miR-1187	2.08988159660552	-3.28736366236427	1.39016719331398	-1.94393967476742	0.0519027261427135	0.344354625369926
mmu-miR-1190	0.125712952481746	-1.19944470478792	2.16212336002668	-0.284203119686555	0.776254724837591	NA
mmu-miR-1191a	2.54186166146244	-0.843160977370053	1.14190199432287	-0.226112641831407	0.821113812437477	1
mmu-miR-1193-3p	8.66830474868004	0.858997234958287	0.680173222488146	0.402889624549879	0.687029424400056	1
mmu-miR-1195	2.30783100218784	0.173610347125097	1.19101805841323	0	1	1
mmu-miR-1197-5p	0.172364078842237	-0.727630706732938	2.16212336002668	-0.0659852294505624	0.947389585015018	NA
mmu-miR-1197-3p	0.734329347772903	-0.612294133088144	1.82976271072094	-0.0149372550915187	0.988082237968353	NA
mmu-miR-1198-5p	1.21448828738831	1.3414552096318	1.57400198080859	0.480617380495307	0.630788460403676	1
mmu-miR-12188-5p	0.282933214528508	-0.314596428263929	2.14631691881927	0	1	NA
mmu-miR-1247-5p	0.125677355967626	0	2.16212336002668	0	1	NA
