baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-let-7b-5p	1.21666198820929	-2.99066569370325	1.83937117557068	-1.30789436353742	0.19090914157185	NA
mmu-let-7d-5p	9.61382202419284	-1.26987954316057	0.56589105034488	-1.2103337595143	0.226150848443284	1
mmu-let-7d-3p	1.62881711791725	-2.90360936442563	1.4742758500886	-1.57273610875817	0.115779935132681	NA
mmu-let-7e-5p	13.0391227620085	0.591993044307481	0.560913385409012	0.0125340984351768	0.989999498228186	1
mmu-let-7e-3p	0.331545029384958	0.380525703315072	2.11515840511407	0	1	NA
mmu-let-7f-2-3p	0.352805751385318	0.441164099541432	2.10342951761285	0	1	NA
mmu-let-7g-5p	27.5986712231819	-0.523794408710263	0.428999806774538	0	1	1
mmu-let-7i-5p	5.90599208696774	-1.11805047465479	0.754581591867664	-0.706468299358044	0.479896959950343	1
mmu-let-7i-3p	1.05282801504429	-1.85493750975263	1.55669678524747	-0.815813985785025	0.41460653295236	NA
mmu-miR-101a-5p	2.17384933529954	-0.627896469033572	1.21763115187991	-0.0352602413679461	0.971872226394461	NA
mmu-miR-101a-3p	127.512559517843	0.0320185396981289	0.347239611204455	0	1	1
mmu-miR-101b-5p	0.333519949366759	0.19457214205904	2.15715177866583	0	1	NA
mmu-miR-101b-3p	45.3542908445023	0.800934359665197	0.432661433669312	0.499170580359862	0.617659218294365	1
mmu-miR-103-2-5p	0.601789781890302	-0.0983833569085237	1.85241467883799	0	1	NA
mmu-miR-106a-5p	161.821691383828	-2.78251056200047	1.15558127485677	-1.9016819578975	0.0572127459740734	0.61373672954006
mmu-miR-106a-3p	1.27880309773179	0	1.81377987816731	0	1	NA
mmu-miR-106b-5p	17.9810511015966	0.167272447664626	0.519682389224275	0	1	1
mmu-miR-106b-3p	8.18907620034651	0.563522343023949	0.700897511049299	0	1	1
mmu-miR-107-3p	0.273680885645501	0.35141320895611	2.16237641493728	0	1	NA
mmu-miR-10a-3p	0.167675948262749	-0.736115538642405	2.16232712987725	-0.0699029466137391	0.944270907810302	NA
mmu-miR-1187	2.08988159660552	-1.01735831512641	1.35111022641726	-0.320030006398399	0.748945583980624	NA
mmu-miR-1190	0.125712952481746	0	2.16222848107395	0	1	NA
mmu-miR-1191a	2.54186166146244	0.832338814154152	1.33720972162909	0.184994402472354	0.85323342597911	NA
mmu-miR-1193-3p	8.66830474868004	1.84879284166714	1.18148910677095	1.06969275781143	0.284757627258659	1
mmu-miR-1195	2.30783100218784	-0.826868663174845	1.25811248187324	-0.192277054666453	0.847525190772161	NA
mmu-miR-1197-5p	0.172364078842237	0	2.16225697465489	0	1	NA
mmu-miR-1197-3p	0.734329347772903	0	1.91420390675262	0	1	NA
mmu-miR-1198-5p	1.21448828738831	1.2156345028067	1.50243408655356	0.419766835517056	0.674655794599885	NA
mmu-miR-12188-5p	0.282933214528508	-0.484740215318472	2.14188654489276	0	1	NA
mmu-miR-1247-5p	0.125677355967626	0.704627970554139	2.1623929007252	0.0553393741687049	0.95586809416062	NA
mmu-miR-1258-3p	0.195302404162797	0.262757938483753	2.16232432229468	0	1	NA
mmu-miR-125a-5p	52.9307990934562	1.26267799646074	0.323822972831618	2.09285798908399	0.036361833423818	0.536337043001316
mmu-miR-125a-3p	0.500730877621155	-0.0881513019819326	1.96323341672564	0	1	NA
