#miRNA	di1	di2	di3	dt1	dt2	dt3	mi1	mi2	mi3	mt1	mt2	mt3	wi1	wi2	wt1	wt2	ic1	tc1	tw1	tp1	tw2	tp2	tw3	tp3	ew1	ep1	ew2	ep2	ew3	ep3
mmu-let-7a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7b-5p	71	32	55	35	171	49	18	14	97	11	20	31	10	24	13	28	20	13	29	0	1	0	0	1	0	0	2	0	0	0
mmu-let-7b-3p	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7c-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7c-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7d-5p	58	34	46	34	76	38	2	1	6	9	6	5	0	6	4	3	14	2	77	9	15	11	21	26	1	3	0	5	1	3
mmu-let-7d-3p	0	4	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	22	0	3	0	3	3	0	0	1	0	0	1
mmu-let-7e-5p	30	24	35	34	37	59	3	1	5	9	4	6	5	18	32	38	81	20	78	18	9	44	15	73	3	0	0	2	2	2
mmu-let-7e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	3	0	0	0	0	0	0
mmu-let-7f-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
mmu-let-7f-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	2	0	0	0	1	0	0
mmu-let-7g-5p	97	78	73	63	109	62	22	10	17	10	13	9	7	14	21	13	22	15	181	28	33	31	44	131	4	18	2	16	6	15
mmu-let-7g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0
mmu-let-7i-5p	32	21	14	12	41	8	1	3	4	7	1	1	2	2	3	2	3	5	46	3	7	3	8	22	3	4	4	1	2	1
mmu-let-7i-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	1	2	3	0	0	0	1	0	0
mmu-let-7j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-let-7k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-100-5p	2	0	0	2	19	2	0	2	2	3	0	4	0	1	1	2	6	7	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-101a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	6	4	3	1	1	1	0	0	0	0
mmu-miR-101a-3p	63	22	37	91	139	83	16	19	50	34	32	38	13	28	20	37	25	12	864	138	95	167	134	727	32	168	23	122	28	47
mmu-miR-101b-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0
mmu-miR-101b-3p	110	78	81	63	123	89	22	14	13	29	21	26	9	18	47	81	74	21	210	51	18	53	18	246	20	82	23	67	20	28
mmu-miR-101c	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-103-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-103-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	0	0	0	2	0	0
mmu-miR-105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-106a-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	1	0	0	0	207	584	146	563	192	288
mmu-miR-106a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	1	2
mmu-miR-106b-5p	29	15	12	2	10	9	2	0	2	0	2	0	2	7	4	3	3	3	41	5	5	16	9	39	12	45	15	47	12	22
mmu-miR-106b-3p	2	3	4	3	9	4	1	0	0	0	0	1	0	0	0	1	0	1	18	9	6	12	2	12	11	17	3	14	2	12
mmu-miR-107-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-107-3p	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	0
mmu-miR-10a-5p	37	23	24	38	306	39	10	12	7	17	38	17	1	2	15	13	14	7	1	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-10a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
mmu-miR-10b-5p	527	474	302	910	1119	1087	361	122	104	676	584	554	14	50	286	280	389	34	1	0	0	0	0	0	0	1	0	1	0	0
mmu-miR-10b-3p	2	1	2	6	1	4	2	1	0	5	0	3	0	0	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	2	2	0	1	1	1	2	3	0	4	0
