logFC	AveExpr	t	P.Value	adj.P.Val	B
2667	-1.00123741144563	7.76630057699767	-30.0401705149343	0.000000659629411058753	0.00215650134549484	7.02774796766336
292	-1.12996434291138	9.07451611840495	-26.8117105020052	0.00000117013663673329	0.00215650134549484	6.51849288607682
1006	1.93753370134909	5.9823523250048	26.2376687178287	0.00000130492741203858	0.00215650134549484	6.21404668174289
2291	2.24967824241641	6.94668530459627	24.6269520015221	0.00000179522035727362	0.00215650134549484	6.14665735843487
1206	-2.88821696167266	5.32480365419872	-23.913012839206	0.00000208162821888038	0.00215650134549484	5.16091710736616
2760	-1.3312361159534	4.54664540304578	-22.4516099489593	0.00000285827511437771	0.00215650134549484	4.88821087713471
3903	-0.784741733217843	5.55887074630898	-22.372942355772	0.00000290913881100006	0.00215650134549484	5.6119926500463
5013	1.56847629443521	4.62593412658978	22.2512793780901	0.00000298994987243652	0.00215650134549484	4.89988438516835
2275	-0.771615324442914	6.61003739985012	-20.6766472125928	0.00000432231002487841	0.00277108098261649	5.3199954518407
20	0.870313903341437	7.58045008518757	19.9937011684297	0.00000511545050549341	0.0027784419289887	5.15464948640455
3785	1.16663347167067	4.42451325542951	19.4096012050363	0.00000593511400022195	0.0027784419289887	4.3702782761831
2622	-2.26027138128471	5.87750118164417	-19.3514986520913	0.00000602494559230834	0.0027784419289887	4.85300821031105
1751	0.683579311469636	7.58168322583671	19.204287314578	0.00000625992115716692	0.0027784419289887	4.95263619564561
3327	0.985565929280865	6.7908279363532	18.5262889008843	0.00000749438283647653	0.00295581471626084	4.77175596858402
200	0.653410843104423	6.68931319228779	18.433986876204	0.00000768409371644933	0.00295581471626084	4.74647322561349
2852	1.16627789148774	5.89845040379154	17.2348625031759	0.0000107562079935527	0.00387895750767493	4.41497819406241
1794	1.02182854833344	6.48220079137399	16.485056195155	0.0000134307196450697	0.00422156472858104	4.17261335536507
174	-1.19149298447866	7.77358571716678	-16.4757488930482	0.0000134686142964666	0.00422156472858104	4.16484061115512
3656	-0.848849936895422	7.894757330294	-16.2223308284298	0.0000145512276956792	0.00422156472858104	4.08296534992448
734	-2.31356496631581	8.10745513743916	-15.8589513154244	0.0000162907864584511	0.00422156472858104	3.97137970054402
473	-1.70998646920867	4.73637513587337	-15.7486453123249	0.0000168672461221725	0.00422156472858104	3.74092491541826
